"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000179593",67.2428116114968,9.50600038597198,1.05368643631222,9.02165963077395,1.85261047852774e-19,1.18043364483435e-17
"ENSG00000109906",385.071327676389,7.35265640555454,0.536391114943441,13.7076401914857,9.13818238245427e-43,2.32084091155515e-40
"ENSG00000250978",56.3185566347047,6.32664047885206,0.676259099320979,9.35534987285869,8.33234829768411e-21,6.03409255035501e-19
"ENSG00000132518",5.65470690189454,5.88499344000916,1.31575522589189,4.47271143158104,7.72339722606073e-06,8.85930653818875e-05
"ENSG00000127954",286.388753317735,5.20719259680502,0.493088534047754,10.5603603354133,4.549121796558e-26,5.06356569355147e-24
"ENSG00000265702",3.33101863283805,5.19235793329885,1.48255705546872,3.50229889240739,0.00046126185329555,NA
"ENSG00000249364",8.83918349519796,5.09276319662646,1.15331259699292,4.41577002618808,1.00651048012649e-05,0.000112939620271567
"ENSG00000171819",254.882598741171,5.0816042776927,0.757304186875358,6.71012304667089,1.94460365861094e-11,5.17948200473745e-10
"ENSG00000100033",55.3639200859253,4.88986985110316,0.520353643841387,9.39720497584077,5.60317017730266e-21,4.09054107842598e-19
"ENSG00000260802",6.72314403781662,4.88357964932503,1.19306727136057,4.09329781023647,4.25280926882031e-05,0.000411039742888919
"ENSG00000168309",159.530276360668,4.83499710940447,0.330632792637325,14.6234651162023,1.99008400250656e-48,6.52458086058152e-46
"ENSG00000264569",2.75132288069669,4.80803817205863,1.56833939838022,3.06568729767573,0.00217170310754848,NA
"ENSG00000168481",21.0039327564639,4.75737275018628,0.801417299749697,5.93619922064588,2.91705315124133e-09,6.04601177277972e-08
"ENSG00000137673",5.10282975229036,4.73309125881628,1.31892548812776,3.58859640019163,0.000332463061278319,0.00256304998758899
"ENSG00000128045",124.216514368742,4.70277291951095,0.752168022686093,6.25229041606517,4.04476346539344e-10,9.32674869667193e-09
"ENSG00000222939",2.4092468084514,4.6119597826432,1.62871508679563,2.8316553460046,0.0046307733191527,NA
"ENSG00000152583",997.444732611474,4.57496648744996,0.184241229157864,24.8313936482152,4.10827007824647e-136,7.40803260509404e-132
"ENSG00000163884",561.111048261822,4.45916878778715,0.234793390748025,18.9918837731367,1.99058039084218e-80,2.24338410047914e-77
"ENSG00000127324",26.4056853497082,4.37299403602353,0.622910558669821,7.02025993163726,2.21455863220966e-12,6.65548687600077e-11
"ENSG00000177575",10.1021614404928,4.36832158396843,0.945764453778634,4.61882614272039,3.8591703111135e-06,4.70510879310336e-05
"ENSG00000171051",3.30683804509439,4.31887144150216,1.42152736497276,3.03819085578062,0.0023800316509313,NA
"ENSG00000264868",18.1836599664755,4.30846413486188,0.7725547537132,5.57690456780405,2.44836094920668e-08,4.45497927710342e-07
"ENSG00000236990",2.22849476689147,4.19151739204182,1.71781246724491,2.44003200114407,0.0146859609002096,NA
"ENSG00000144908",2.70315730241082,4.15191984347146,1.51394951331653,2.74244273468279,0.00609840823911037,NA
"ENSG00000237949",2.62223211536739,4.14509986822431,1.49701400443732,2.76891188455002,0.00562438441592083,NA
"ENSG00000152779",45.6803014022667,4.12297635144682,0.454841693138327,9.06464032133689,1.25016024309437e-19,8.197414364901e-18
"ENSG00000273259",8.86087720009819,4.09104443466084,0.951287600998467,4.30053375064166,1.70387217424785e-05,0.000181654590375262
"ENSG00000101342",42.90137769414,4.08768777358032,0.47892716556018,8.53509273962177,1.40043051323378e-17,7.21501800418045e-16
"ENSG00000170214",201.577369495195,4.06197117974264,0.48921791298845,8.30298946931352,1.01523877709318e-16,4.89486246752519e-15
"ENSG00000270689",4.50367827996702,4.05381548826218,1.26730855020247,3.19875967665059,0.00138020170697601,0.00878806397605632
"ENSG00000096060",2564.38437504937,4.04665432054343,0.369778361447277,10.9434589539128,7.14219274631811e-28,9.00615521689568e-26
"ENSG00000268894",6.62879201228482,4.01583854781554,1.0755537654323,3.73374040134705,0.000188656949417117,0.00155052967725135
"ENSG00000015413",1.4879724143379,4.01147095086356,1.9070645372754,2.10347939068423,0.035423884985222,NA
"ENSG00000152463",7.53317434146912,3.93925320176383,0.98053019063359,4.01747262796508,5.88256657885345e-05,0.000548188323255222
"ENSG00000173432",2.91936103331065,3.92467232075731,1.50918790532662,2.60051933023405,0.0093082774753902,NA
"ENSG00000173838",47.3529312582661,3.90215321754125,0.408440653625479,9.55378261910074,1.25045359229826e-21,9.71904274841475e-20
"ENSG00000219565",5.21232379167884,3.87384490594702,1.14256404321076,3.39048382361219,0.000697693718909145,0.0049067133928899
"ENSG00000235885",2.16189523299141,3.86275152374043,1.5972755029702,2.41833767346802,0.0155916004439242,NA
"ENSG00000158022",3.21662380321468,3.84528809969555,1.42097844870247,2.70608474266923,0.0068081670134664,NA
"ENSG00000143127",265.813276525119,3.81872323577699,0.446285442377217,8.5566833984902,1.16160977620323e-17,6.03635374192987e-16
"ENSG00000225527",1.61829088250447,3.79997320532256,1.88770143321144,2.0130160090295,0.0441129452042819,NA
"ENSG00000101347",12703.4128252398,3.76702134486945,0.155991964038929,24.1488166911557,7.68345243280976e-129,3.46370035671064e-125
"ENSG00000211445",12285.7000547124,3.73043888517743,0.166398379794794,22.4187212025615,2.58505699575931e-111,7.76895795792197e-108
"ENSG00000138483",4.87045243050388,3.70272756722514,1.14415356071905,3.23621556961126,0.00121125872547525,0.00784251969040204
"ENSG00000170323",8.79470657325092,3.70211627947357,0.914886051045527,4.04653265315697,5.19818764754347e-05,0.000489726852980688
"ENSG00000227141",3.52782324875335,3.65212790965559,1.30588157577511,2.79667618978993,0.00516312509564263,NA
"ENSG00000179300",68.2349431313031,3.62305828718323,0.725018054078596,4.99719733433075,5.81695352351618e-07,8.23969410338128e-06
"ENSG00000187288",22.4448556240806,3.60671148895195,0.613367289286157,5.88018231808461,4.09814832717231e-09,8.35948084112795e-08
"ENSG00000267653",2.05244123112144,3.58809258146339,1.64019717069255,2.18759832389442,0.0286988740464041,NA
"ENSG00000219088",2.1231703025718,3.5522128880373,1.64289884755424,2.16216165305942,0.0306057181755769,NA
"ENSG00000257202",2.34508769364802,3.53861947306719,1.50734919203696,2.3475777820833,0.0188959273618097,NA
"ENSG00000178723",34.4928481345877,3.53447931767557,0.452757840072869,7.80655574535543,5.87719811610106e-15,2.40312100747243e-13
"ENSG00000120586",1.36249347035772,3.52397996676771,2.19242067196657,1.60734662459041,0.107978351795693,NA
"ENSG00000183748",1.36249347035772,3.52397996676771,2.19242067196657,1.60734662459041,0.107978351795693,NA
"ENSG00000248187",7.68952994258655,3.49488973935205,0.95370571601662,3.66453684890271,0.000247786565219066,0.00197353681273419
"ENSG00000231246",5.97046959812093,3.47712280004255,1.00282215524687,3.46733743550626,0.000525641580278891,0.00382344241125957
"ENSG00000157152",49.9491137825046,3.46249481037465,0.40737415882975,8.49954454725661,1.90336005046397e-17,9.72277292633605e-16
"ENSG00000162267",7.85434249737202,3.45147661225788,1.06406325338818,3.24367616423905,0.00117997817663329,0.00766751945263115
"ENSG00000163083",418.919472436378,3.4500876305263,0.208581349855446,16.5407292306686,1.86747935767326e-61,1.02043599325952e-58
"ENSG00000148677",5.2853822550832,3.42718970101328,1.17358804977013,2.92026635895328,0.00349732328549955,0.0192914449324344
"ENSG00000250961",2.18119263427361,3.41069949660412,1.52155346185155,2.24159031024366,0.0249878628036087,NA
